Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SK6812MINI-E","SK6812MINI-E_fixed",42.100000,-95.399999,-90.000000,top
"D2","SK6812MINI-E","SK6812MINI-E_fixed",37.050000,-95.399999,-90.000000,top
"D3","SK6812MINI-E","SK6812MINI-E_fixed",32.000000,-95.399999,-90.000000,top
"D4","SK6812MINI-E","SK6812MINI-E_fixed",42.100000,-86.399999,-90.000000,top
"D5","SK6812MINI-E","SK6812MINI-E_fixed",37.050000,-86.399999,-90.000000,top
"D6","SK6812MINI-E","SK6812MINI-E_fixed",32.000000,-86.399999,-90.000000,top
"D7","SK6812MINI-E","SK6812MINI-E_fixed",26.950000,-86.399999,-90.000000,top
"D8","SK6812MINI-E","SK6812MINI-E_fixed",26.950000,-95.399999,-90.000000,top
"R1","330R","R_0603_1608Metric",25.675000,-79.500000,0.000000,top
"SW1","SW_Push","SW_Cherry_MX_1.00u_PCB",36.835000,-32.465000,0.000000,top
"SW2","SW_Push","SW_Cherry_MX_1.00u_PCB",36.835000,-47.555000,0.000000,top
"SW3","SW_Push","SW_Cherry_MX_1.00u_PCB",36.835000,-62.645000,0.000000,top
